DATE,NFCI
1971-01-08,0.53507
1971-01-15,0.58099
1971-01-22,0.63684
1971-01-29,0.69770
1971-02-05,0.75984
1971-02-12,0.81765
1971-02-19,0.86739
1971-02-26,0.90768
1971-03-05,0.93996
1971-03-12,0.96711
1971-03-19,0.99397
1971-03-26,1.02656
1971-04-02,1.06891
1971-04-09,1.12370
1971-04-16,1.18890
1971-04-23,1.26010
1971-04-30,1.32824
1971-05-07,1.38355
1971-05-14,1.41317
1971-05-21,1.40900
1971-05-28,1.36831
1971-06-04,1.29365
1971-06-11,1.19116
1971-06-18,1.07871
1971-06-25,0.97564
1971-07-02,0.90181
1971-07-09,0.87594
1971-07-16,0.91035
1971-07-23,1.00934
1971-07-30,1.16682
1971-08-06,1.36774
1971-08-13,1.58914
1971-08-20,1.80618
1971-08-27,1.99019
1971-09-03,2.12420
1971-09-10,2.19262
1971-09-17,2.19541
1971-09-24,2.13787
1971-10-01,2.03391
1971-10-08,1.90026
1971-10-15,1.75813
1971-10-22,1.62544
1971-10-29,1.51552
1971-11-05,1.43658
1971-11-12,1.38895
1971-11-19,1.36917
1971-11-26,1.36658
1971-12-03,1.37079
1971-12-10,1.37053
1971-12-17,1.35584
1971-12-24,1.32016
1971-12-31,1.26378
1972-01-07,1.18001
1972-01-14,1.08191
1972-01-21,0.97353
1972-01-28,0.86276
1972-02-04,0.75817
1972-02-11,0.66486
1972-02-18,0.58554
1972-02-25,0.52120
1972-03-03,0.47079
1972-03-10,0.43173
1972-03-17,0.39974
1972-03-24,0.37033
1972-03-31,0.33934
1972-04-07,0.30283
1972-04-14,0.26130
1972-04-21,0.21458
1972-04-28,0.16575
1972-05-05,0.11844
1972-05-12,0.07776
1972-05-19,0.04800
1972-05-26,0.03379
1972-06-02,0.03711
1972-06-09,0.05838
1972-06-16,0.09471
1972-06-23,0.14159
1972-06-30,0.19202
1972-07-07,0.23782
1972-07-14,0.27254
1972-07-21,0.29032
1972-07-28,0.28658
1972-08-04,0.26093
1972-08-11,0.21543
1972-08-18,0.15476
1972-08-25,0.08490
1972-09-01,0.01318
1972-09-08,-0.05299
1972-09-15,-0.10870
1972-09-22,-0.15088
1972-09-29,-0.17882
1972-10-06,-0.19473
1972-10-13,-0.20282
1972-10-20,-0.20667
1972-10-27,-0.21099
1972-11-03,-0.21910
1972-11-10,-0.23261
1972-11-17,-0.25168
1972-11-24,-0.27467
1972-12-01,-0.29716
1972-12-08,-0.31425
1972-12-15,-0.32050
1972-12-22,-0.30879
1972-12-29,-0.27338
1973-01-05,-0.21048
1973-01-12,-0.11799
1973-01-19,0.00247
1973-01-26,0.14641
1973-02-02,0.30678
1973-02-09,0.47352
1973-02-16,0.63525
1973-02-23,0.78255
1973-03-02,0.90660
1973-03-09,1.00240
1973-03-16,1.06767
1973-03-23,1.10616
1973-03-30,1.12219
1973-04-06,1.12014
1973-04-13,1.10720
1973-04-20,1.08832
1973-04-27,1.06776
1973-05-04,1.04738
1973-05-11,1.02957
1973-05-18,1.01468
1973-05-25,1.00435
1973-06-01,1.00089
1973-06-08,1.00738
1973-06-15,1.02657
1973-06-22,1.06138
1973-06-29,1.11418
1973-07-06,1.18500
1973-07-13,1.27436
1973-07-20,1.37861
1973-07-27,1.49489
1973-08-03,1.61687
1973-08-10,1.73958
1973-08-17,1.85713
1973-08-24,1.96481
1973-08-31,2.05610
1973-09-07,2.12540
1973-09-14,2.16984
1973-09-21,2.18867
1973-09-28,2.18280
1973-10-05,2.15409
1973-10-12,2.11149
1973-10-19,2.06122
1973-10-26,2.01302
1973-11-02,1.97281
1973-11-09,1.94473
1973-11-16,1.92849
1973-11-23,1.91770
1973-11-30,1.90240
1973-12-07,1.87048
1973-12-14,1.81253
1973-12-21,1.72121
1973-12-28,1.59432
1974-01-04,1.43249
1974-01-11,1.24728
1974-01-18,1.04947
1974-01-25,0.85241
